Word	P-Value	Score
bleed	1.26204865514e-39	173.51694195
hemorrhage	1.12833489455e-24	105.156974618
bleeding	7.35723259186e-23	96.8823305117
hematoma	7.8503490519e-22	92.1959947659
subdural	2.9814738964e-21	89.5555555556
egd	1.93748038099e-20	85.8537459568
gi	3.01041210666e-19	80.4309609148
gi bleed	1.62697838759e-17	72.5518839059
coffee	1.04170067916e-16	68.8888888889
neurosurgery	1.04170067916e-16	68.8888888889
mg mouth	2.10971241659e-16	67.4973427265
name8 namepattern2 34	5.97755073657e-16	65.4444444444
namepattern1 35	5.97755073657e-16	65.4444444444
namepattern1 35 2553	5.97755073657e-16	65.4444444444
namepattern2 34	5.97755073657e-16	65.4444444444
namepattern2 34 namepattern1	5.97755073657e-16	65.4444444444
ct	3.60628038923e-15	61.9039357263
subdural hematoma	1.97630826879e-14	58.5555555556
hematuria	4.09946461923e-14	57.120327701
frontal	8.66858281847e-14	55.6478921318
varices	2.14691936646e-13	53.8655250232
temporal	2.6801284355e-13	53.4297092792
ct head	7.64279123377e-13	51.3718166384
head	1.14291441e-12	50.5819485174
mg mouth day	1.53432419964e-12	50.0040059034
npo	3.63297222932e-12	48.3132065068
coffee ground	2.20713450323e-11	44.7777777778
subarachnoid	2.20713450323e-11	44.7777777778
melena	2.97097165617e-11	44.1959378734
tips	1.18218349875e-10	41.4942463686
day name8	1.28361237032e-10	41.3333333333
day name8 namepattern2	1.28361237032e-10	41.3333333333
left frontal	1.28361237032e-10	41.3333333333
sah	1.28361237032e-10	41.3333333333
tab tablet	1.28361237032e-10	41.3333333333
tab tablet mouth	1.28361237032e-10	41.3333333333
tips procedure	1.28361237032e-10	41.3333333333
units units	1.28361237032e-10	41.3333333333
octreotide	2.89682981623e-10	39.7429595494
emesis	2.89772343408e-10	39.7423571579
small	6.67138909503e-10	38.1144598802
ground	7.63939173834e-10	37.8501140437
likely	3.50631309674e-09	34.8801843318
remained stable	3.8148480143e-09	34.7159924902
24pm blood	4.38592874652e-09	34.4444444444
coffee ground emesis	4.38592874652e-09	34.4444444444
ground emesis	4.38592874652e-09	34.4444444444
lupus	4.38592874652e-09	34.4444444444
mg tube	4.38592874652e-09	34.4444444444
